Date,BND,BND,BND,BND,BND
2015-07-15,62.25343322753906,62.27642383355516,62.06183704800306,62.08482765401916,2631000
2015-07-16,62.25343322753906,62.29174895521543,62.115483744391085,62.13080886605136,1063100
2015-07-17,62.26108932495117,62.32240150220908,62.23043323632222,62.26875480887117,807900
2015-07-20,62.17681884765625,62.2457965446723,62.138503102250965,62.22280592801832,1026900
2015-07-21,62.291770935058594,62.33009252330823,62.1538214032347,62.169152377355935,1422900
2015-07-22,62.31476593017578,62.406734240208614,62.3071062896301,62.32243141777531,1624100
2015-07-23,62.46037292480469,62.49102902420557,62.299432788239905,62.345414013814676,1178400
2015-07-24,62.498741149902344,62.544722409790175,62.46041953529083,62.52939142512259,804300
2015-07-27,62.6213493347168,62.62901482577051,62.54471196534904,62.60602419966584,2022800
2015-07-28,62.51399612426758,62.575308300008636,62.50633064053722,62.544652212138104,1434700
2015-07-29,62.46037292480469,62.521685123606446,62.414391699229924,62.51401963699295,1020500
2015-07-30,62.48338317871094,62.52170477677138,62.41441131866807,62.44506742770544,788000
2015-07-31,62.69797897338867,62.713309953605794,62.62900710357891,62.674988350118745,1589100
2015-08-03,62.8431282043457,62.85848506094792,62.69721170040765,62.74328812937363,2085800
2015-08-04,62.62803268432617,62.804662719918326,62.61266998435528,62.78930587910074,1007300
2015-08-05,62.528236389160156,62.56663730675787,62.443759057771096,62.551274596055826,2097000
2015-08-06,62.56659698486328,62.628036069761414,62.528196092013545,62.543558792814885,1173000
2015-08-07,62.697200775146484,62.75095855262571,62.62808614374104,62.66648120813574,1773800
2015-08-10,62.56659698486328,62.6741124538582,62.528196092013545,62.65107426180981,1173300
2015-08-11,62.80467224121094,62.88914952639784,62.75091450146965,62.77395269576532,1424200
2015-08-12,62.78163528442383,62.99666624762751,62.76627844097542,62.912188960775445,1029700
2015-08-13,62.65107345581055,62.7816271151743,62.62803526405853,62.72018803106658,845500
2015-08-14,62.62803268432617,62.72018544753832,62.59731314353769,62.62803268432617,2279800
2015-08-17,62.7432975769043,62.804736730882986,62.71258385907516,62.77401715389364,821900
2015-08-18,62.62803268432617,62.71250995670618,62.60498863436983,62.6664277159468,1083900
2015-08-19,62.85074996948242,62.87379402342347,62.528203524159565,62.56660442157366,1356600
2015-08-20,62.90459060668945,62.9506670526912,62.850826940805405,62.87387102296778,1536900
2015-08-21,63.00435256958008,63.0427476108074,62.87379888292859,62.95059482453801,3459200
2015-08-24,62.989070892333984,63.303942274871495,62.91995621372565,63.20410800827201,4751800
